"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercise","LMS service","Tue Aug 05 16:14:08 GMT 2025","passed","Tue Aug 05 16:14:08 GMT 2025","Get entity","Exercises","",""
"","39","Create course","LMS service","Tue Aug 05 16:14:05 GMT 2025","passed","Tue Aug 05 16:14:05 GMT 2025","Create entity","Courses","",""
"","12","Get exercises","LMS service","Tue Aug 05 16:14:09 GMT 2025","passed","Tue Aug 05 16:14:09 GMT 2025","Get entities","Exercises","",""
"","23","Delete exercise","LMS service","Tue Aug 05 16:14:09 GMT 2025","passed","Tue Aug 05 16:14:09 GMT 2025","Delete entity","Exercises","",""
"","42","Create file with empty filename","LMS service","Tue Aug 05 16:14:11 GMT 2025","passed","Tue Aug 05 16:14:11 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue Aug 05 16:14:10 GMT 2025","passed","Tue Aug 05 16:14:10 GMT 2025","Get entity","Files","",""
"","303","Update course","LMS service","Tue Aug 05 16:14:06 GMT 2025","passed","Tue Aug 05 16:14:06 GMT 2025","Update entity","Courses","",""
"","32","Get courses","LMS service","Tue Aug 05 16:14:06 GMT 2025","passed","Tue Aug 05 16:14:06 GMT 2025","Get entities","Courses","",""
"","24","Update exercise","LMS service","Tue Aug 05 16:14:08 GMT 2025","passed","Tue Aug 05 16:14:08 GMT 2025","Update entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Tue Aug 05 16:14:04 GMT 2025","passed","Tue Aug 05 16:14:04 GMT 2025","Login","Authentication","",""
"","15","Get file with incorrect file id","LMS service","Tue Aug 05 16:14:12 GMT 2025","passed","Tue Aug 05 16:14:12 GMT 2025","Validate entity","Files","",""
"","559","Create user","LMS service","Tue Aug 05 16:14:13 GMT 2025","passed","Tue Aug 05 16:14:14 GMT 2025","Create entity","Users","",""
"","557","Create user","LMS service","Tue Aug 05 16:14:12 GMT 2025","passed","Tue Aug 05 16:14:13 GMT 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Tue Aug 05 16:14:06 GMT 2025","passed","Tue Aug 05 16:14:07 GMT 2025","Create entity","Exercises","",""
"","264","Create file with empty directory","LMS service","Tue Aug 05 16:14:12 GMT 2025","passed","Tue Aug 05 16:14:12 GMT 2025","Validate entity","Files","",""
"","559","Create user","LMS service","Tue Aug 05 16:14:12 GMT 2025","passed","Tue Aug 05 16:14:13 GMT 2025","Create entity","Users","",""
"","272","Create file","LMS service","Tue Aug 05 16:14:10 GMT 2025","passed","Tue Aug 05 16:14:10 GMT 2025","Create entity","Files","",""
"","20","Delete file","LMS service","Tue Aug 05 16:14:11 GMT 2025","passed","Tue Aug 05 16:14:11 GMT 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Tue Aug 05 16:14:14 GMT 2025","passed","Tue Aug 05 16:14:14 GMT 2025","Get entity","Users","",""
